ModelID,AdditionalSystemPrompt,Available,Built-In,Description,ExclusiveGroupAvailability,InputContextWindow,InputCostPerThousandTokens,CachedCostPerThousandTokens,ModelName,OutputCostPerThousandTokens,OutputTokenLimit,Provider,SupportsImages,SupportsSystemPrompts,SupportsReasoning
amazon.nova-lite-v1:0,,TRUE,TRUE,"Consider for cost-sensitive, high-volume interactive workloads that demand lightning-fast multimodal (text / image ) understanding.Delivers responses with a 300 k-token context window, supports 200 + languages, and can be fine-tuned on text, image, or video inputs.Ideal for chatbots, content moderation, retrieval-augmented generation, and lightweight agent orchestration.Trained cutoff date not disclosed.",[],300000,0.00006,0,Nova Lite,0.00024,5000,Bedrock,TRUE,FALSE,FALSE
amazon.nova-pro-v1:0,,TRUE,TRUE,"Consider for broad-spectrum tasks that need the strongest balance of accuracy, speed, and cost across text and image inputs.Excels at  summarization, complex reasoning, software-development assistance, and multistep AI agents, all within a 300 k-token context window and 200 + language coverage.Trained cutoff date not disclosed.",[],300000,0.0008,0,Nova Pro,0.0032,5000,Bedrock,TRUE,FALSE,FALSE
amazon.titan-embed-text-v1,,FALSE,TRUE,,[],0,0.001,0,Titan-Embed-Text-v1,0,0,Bedrock,FALSE,FALSE,FALSE
us.anthropic.claude-haiku-4-5-20251001-v1:0,,TRUE,TRUE,"Consider for ultra-low-latency applications requiring advanced reasoning, coding, and multilingual support.Claude Haiku 4.5 is Anthropic's fastest model in the Claude 4 family, delivering strong accuracy on benchmarks while keeping costs minimal.Handles text and images with a 200 k-token context window, and is ideal for real-time chat, code autocompletion, and content moderation.Trained on information available through early 2025.",[],200000,0.001,0.0001,Claude Haiku 4.5,0.005,8192,Bedrock,TRUE,TRUE,FALSE
gpt-35-turbo,,FALSE,TRUE,"Consider for simpler queries where the latest information isn't crucial.A cost-effective and less sophisticated alternative to GPT-4, balancing performance with affordability.Performs well with precise tasks, discussing general topics, brainstorming, drafting questions, organizing fundamental information, proposing innovative ideas, and offering recommendations.Trained on information available through January 2022.",[],16385,0.0005,0,GPT-3.5-Turbo,0.0015,4096,Azure,FALSE,TRUE,FALSE
gpt-4-1106-preview,,FALSE,TRUE,"This is an omni model which can be used for complex tasks requiring advanced understanding.Increased speed with similar understanding in line with its predecessors at a reduced cost. Can carry out complex mathematical operations, code assistance, analyze intricate documents and datasets, demonstrates critical thinking, in-depth context understanding, and supports images as input.Trained on information available through October 2023.",[],128000,0.01,0,GPT-4-Turbo,0.03,4096,Azure,TRUE,TRUE,FALSE
gpt-4o,,TRUE,TRUE,"Consider for complex tasks requiring advanced understanding.Offers further advanced intelligence over its predecessors.Can carry out complex mathematical operations, code assistance, analyze intricate documents and datasets, demonstrates critical thinking, in-depth context understanding, and supports images as input.Trained on information available through April 2023.",[],128000,0.005,0.001375,GPT-4o,0.015,4096,Azure,TRUE,TRUE,FALSE
gpt-4o-mini,,TRUE,TRUE,"Consider it for its ability to output longer responses and deliver rapid replies with advanced comprehension. GPT-4o Mini is OpenAI’s most cost-efficient small model. A compact yet powerful omni model that showcases remarkable abilities in textual intelligence and multimodal reasoning. It surpasses its predecessors and competitors in various academic benchmarks, demonstrating a level of understanding that rivals larger models.Trained on information available through October 2023.",[],128000,0.000165,0.00165,GPT-4o-mini,0.00066,16384,Azure,TRUE,TRUE,FALSE
mistral.mistral-7b-instruct-v0:2,,FALSE,TRUE,"Consider for pre-filtering or high-volume tasks.Reduces costs when used alongside more sophisticated models like GPT-4, Claude-3, or Mixtral-8x7B-Instruct.Best for text-related tasks such as summarization, classification, answering questions, creative content generation, and light dialogueTrained on information available through September 2023.",[],8192,0.00015,0,Mistral 7B,0.0002,8192,Bedrock,FALSE,FALSE,FALSE
mistral.mistral-large-2402-v1:0,,FALSE,TRUE,"Consider for complex tasks and advanced understanding without the need for recent knowledge.Offer a greater level of intelligence compared to its predecessors.Excels in complex reasoning, text understanding, transformation, code generation, and offers advanced capabilities for multilingual reasoning and analysis.Trained on information available through 2021.",[],128000,0.004,0,Mistral Large,0.012,4096,Bedrock,FALSE,TRUE,FALSE
mistral.mixtral-8x7b-instruct-v0:1,,FALSE,TRUE,"Consider for rapid processing and task-specific fine-tuning.Offers advanced intelligence, compared to its predecessors, at a low cost.Best for text summarization, question answering, text classification, code generation, and creative content generation.Trained on information available through September 2023.",[],32000,0.00045,0,Mixtral 8*7B,0.0007,4096,Bedrock,FALSE,FALSE,FALSE
o1,,FALSE,TRUE,"Consider for complex reasoning tasks requiring step-by-step analysis. OpenAI's o1 model enhances accuracy in math, coding, and science by generating intermediate reasoning steps, though with longer response times. Trained on information available through October 2023.",[],200000,0.015,0.0075,o1,0.06,100000,Azure,TRUE,TRUE,FALSE
o1-mini,,FALSE,TRUE,A lightweight model optimized for speed and efficiency. Best suited for quick response applications and cost-effective inference tasks.Trained on information available through October 2023.,[],128000,0.0033,0.00165,o1 mini,0.0132,65536,Azure,FALSE,TRUE,FALSE
o1-preview,,FALSE,TRUE,An experimental model providing early access to the latest optimizations. Ideal for testing cutting-edge improvements and evaluating new capabilities.Trained on information available through October 2023.,[],128000,0.0165,0.00825,o1 preview,0.066,32768,Azure,FALSE,TRUE,FALSE
o3-mini,,FALSE,TRUE,"OpenAI o3-mini has been optimized for STEM reasoning. o3-mini with medium reasoning effort matches o1’s performance in math, coding, and science, while delivering faster responses.Trained on information available through October 2023.",[],200000,0.0011,0.00055,o3 mini,0.0044,100000,Azure,FALSE,TRUE,TRUE
text-embedding-3-large,,FALSE,TRUE,,[],0,0.00013,0,text-embedding-3-large,0,0,Azure,FALSE,FALSE,FALSE
text-embedding-3-small,,FALSE,TRUE,,[],0,0.00002,0,text-embedding-3-small,0,0,Azure,FALSE,FALSE,FALSE
text-embedding-ada-002,,FALSE,TRUE,,[],0,0.0001,0,Ada-Embedding-002,0,0,Azure,FALSE,FALSE,FALSE
us.anthropic.claude-sonnet-4-20250514-v1:0,,FALSE,TRUE,DEPRECATED - Legacy model retiring Oct 2026. Use Claude Sonnet 4.5 instead.,[],200000,0.003,0.00075,Claude Sonnet 4 (Legacy),0.015,8192,Bedrock,TRUE,TRUE,FALSE
us.anthropic.claude-sonnet-4-5-20250929-v1:0,,FALSE,TRUE,"Consider for the most demanding tasks requiring top-tier intelligence and reasoning. Claude Sonnet 4.5 is Anthropic’s most capable Sonnet model, excelling at complex analysis, coding, math, and creative tasks. Features hybrid reasoning for step-by-step problem solving. Trained on information available through mid 2025.",[],200000,0.003,0.00075,Claude Sonnet 4.5,0.015,8192,Bedrock,TRUE,TRUE,TRUE
us.anthropic.claude-sonnet-4-6,,TRUE,TRUE,"The latest Claude Sonnet model with the most current training data and capabilities. Best for tasks requiring cutting-edge intelligence, recent knowledge, and advanced reasoning across all domains. Trained on information available through 2025.",[],200000,0.003,0.00075,Claude Sonnet 4.6,0.015,8192,Bedrock,TRUE,TRUE,TRUE
us.anthropic.claude-opus-4-5-20251101-v1:0,,FALSE,TRUE,"Consider for your most demanding tasks requiring the highest level of intelligence. Claude Opus 4.5 excels at task automation, interactive coding, complex data analysis, navigating intricate scenarios, brainstorming, and in-depth analysis. The most capable model in the Claude family. Trained on information available through mid 2025.",[],200000,0.015,0.00375,Claude Opus 4.5,0.075,8192,Bedrock,TRUE,TRUE,TRUE
us.deepseek.r1-v1:0,,FALSE,TRUE,"Consider for tasks that benefit from open-source, chain-of-thought style reasoning�particularly math, coding, and scientific analysis.DeepSeek-R1 delivers performance on par with OpenAI o1 at a fraction of the cost with enterprise guardrails built-in.Strong option for agentic workflows, decision support, and cost-sensitive large-scale deployments. Trained on information available through July 2024.",[],128000,0.00135,0,DeepSeek r1,0.0054,32768,Bedrock,TRUE,TRUE,TRUE
us.meta.llama3-2-90b-instruct-v1:0,,FALSE,TRUE,"Consider for large-scale AI tasks requiring deep reasoning, robust contextual understanding, and detailed responses. Suitable for research, enterprise, and technical applications.nTrained on information available through December 2023.",[],128000,0.00072,0,Llama 3.2 90b instruct,0.00072,2048,Bedrock,TRUE,FALSE,FALSE
gpt-3.5-turbo,,FALSE,TRUE,"Consider for cost-effective, fast responses with good quality. GPT-3.5 Turbo is OpenAI's most cost-efficient model, offering excellent performance for most use cases including conversation, content generation, and simple reasoning tasks. Trained on information available through September 2021.",[],16385,0.0005,0,GPT-3.5 Turbo,0.0015,4096,openai,FALSE,TRUE,FALSE
gpt-4,,FALSE,TRUE,"Consider for complex tasks requiring advanced understanding and intelligence. GPT-4 is OpenAI's most capable model for reasoning, analysis, and creative tasks. Excels at nuanced instructions, complex problem-solving, and maintaining context. Trained on information available through September 2021.",[],8192,0.03,0,GPT-4,0.06,4096,openai,TRUE,TRUE,FALSE
gemini-1.5-flash,,TRUE,TRUE,"Consider for high-speed, cost-effective multimodal tasks. Gemini 1.5 Flash is Google's fastest model, optimized for high-volume, latency-sensitive applications while maintaining strong performance across text, code, images, and video. Supports up to 1M token context window. Trained on information available through November 2024.",[],1048576,0.000075,0,Gemini 1.5 Flash,0.0003,8192,gemini,TRUE,TRUE,FALSE
gemini-1.5-pro,,TRUE,TRUE,"Consider for complex reasoning and long-context understanding. Gemini 1.5 Pro is Google's most capable model, excelling at complex tasks like code generation, logical reasoning, multi-turn conversation, and creative collaboration. Features industry-leading 2M token context window. Trained on information available through November 2024.",[],2097152,0.00125,0,Gemini 1.5 Pro,0.005,8192,gemini,TRUE,TRUE,FALSE
gemini-pro,,FALSE,TRUE,"Consider for balanced performance across diverse tasks. Gemini Pro offers strong capabilities for general-purpose text generation, analysis, and reasoning at competitive pricing. Well-suited for chatbots, content creation, and data analysis. Trained on information available through early 2024.",[],32768,0.00025,0,Gemini Pro,0.001,2048,gemini,FALSE,TRUE,FALSE
